"state","county","year","count","total_size","average_cost_per_watt","sum_cost","concat_code","state_code","county_code"
"IL","De Witt","2010",4,26.68,5.91232720825,130498,"17039","17","039"
"IL","DuPage","2010",17,254.448,7.9661936622529412,1787833.43,"17043","17","043"
"IL","Edgar","2010",1,0.2,1.95,390,"17045","17","045"
"IL","Effingham","2010",2,28,12.1605357143,340510,"17049","17","049"
"IL","Franklin","2010",2,5,6.6676,33326,"17047","17","047"
"IL","Fulton","2010",2,10,9.219,92180,"17049","17","049"
"IL","Grundy","2010",1,1.14,11.9122807018,13580,"17061","17","061"
"IL","Iroquois","2010",1,1.02,6.27,6397.93,"17075","17","075"
"IL","Jo Daviess","2010",6,22.94,6.8516302910166667,152237.24,"17085","17","085"
"IL","Johnson","2010",2,3.6,10.7578277778,38720.36,"17071","17","071"
"IL","Kane","2010",2,2.2,12.48227272725,27466,"17025","17","025"
"IL","Kendall","2010",3,8.46,5.8575,53200,"17093","17","093"
"IL","Lake","2010",13,102.03,7.4904211462923075,726337.2,"17065","17","065"
"IL","LaSalle","2010",6,13.122,5.9423411692,73412,"17099","17","099"
"IL","Lee","2010",2,14.4,6.39019444445,92021.6,"17077","17","077"
"IL","Livingston","2010",4,15.9,8.183830629475,123990,"17051","17","051"
"IL","Logan","2010",2,4.08,11.41088235295,46560,"17075","17","075"
"IL","Macon","2010",2,11.28,7.68069148935,86646,"17087","17","087"
"IL","Madison","2010",15,136.2,6.84713257066,871753.28,"17087","17","087"
"IL","Mason","2010",2,7.168,9.79773995535,70214,"17053","17","053"
"LA","Ascension","2010",1,5,,,"22005","22","005"
"IL","Ogle","2010",6,52.55,6.8965122023833333,399233.98,"17141","17","141"
"IL","Peoria","2010",16,97.832,8.61624161250625,789318.8,"17143","17","143"
"IL","Richland","2010",2,21.12,5.90916666665,124784,"17079","17","079"
"IL","Rock Island","2010",2,5.392,8.9330632716,47713,"17161","17","161"
"IL","Saline","2010",2,8.1,4.9523839506,40133.62,"17125","17","125"
"IL","Sangamon","2010",10,69.68,8.1304687923,533586,"17167","17","167"
"IL","Scott","2010",3,21.19,7.4342729621666667,157569,"17127","17","127"
"IL","Shelby","2010",2,5.824,8.54852335165,49778,"17117","17","117"
"IL","St. Clair","2010",4,16.77,5.96367960765,100414,"17115","17","115"
"IL","Stephenson","2010",9,28.3,5.3405949867666667,145437.22,"17177","17","177"
"IL","Tazewell","2010",4,12.208,11.144455605175,131048,"17185","17","185"
"IL","Vermilion","2010",3,12.8,9.4926317073333333,120018.74,"17183","17","183"
"IL","Wabash","2010",2,10.12,9.64213438735,97600,"17169","17","169"
"IL","Washington","2010",4,20.31,7.3183776145,118510.86,"17023","17","023"
"IL","Whiteside","2010",1,8.4,7.28,61110,"17195","17","195"
"IL","Will","2010",2,5.556,7.69845212385,42764,"17197","17","197"
"IN","Brown","2010",3,8.04,8.335,46700,"18049","18","049"
"IN","Carroll","2010",2,20.12,5.43,55000,"18015","18","015"
"IN","Clark","2010",6,10.11,9.32,40000,"18019","18","019"
"IN","Dearborn","2010",2,3.175,,,"18029","18","029"
"IN","Elkhart","2010",8,42.63,4.932,135900,"18039","18","039"
"IN","Franklin","2010",1,3.15,,,"18047","18","047"
"IN","Fulton","2010",1,18.92,,,"18049","18","049"
"IN","Kosciusko","2010",2,6.23,5,15750,"18085","18","085"
"IN","Marion","2010",1,4.86,,,"18089","18","089"
"IN","Marshall","2010",2,12.7,,,"18095","18","095"
"IN","Miami","2010",2,4.084,,,"18109","18","109"
"IN","Monroe","2010",25,70.27,5.54,65000,"18095","18","095"
"IN","Morgan","2010",4,21.52,7.24,104550,"18087","18","087"
"IN","Posey","2010",2,14.32,8.13,81250,"18129","18","129"
"IN","Scott","2010",1,1.05,,,"18127","18","127"
"IN","Steuben","2010",2,10.04,4.96,25000,"18101","18","101"
"IN","St. Joseph","2010",9,272.98,6.2775,599000,"18149","18","149"
"IN","Vanderburgh","2010",3,26.1,7.98,206287.5,"18163","18","163"
"IN","Vigo","2010",1,14.1,6.04,85160,"18167","18","167"
"IN","Wabash","2010",1,8.28,,,"18169","18","169"
"IN","Warrick","2010",1,2.76,7.13,19680,"18173","18","173"
"IN","Washington","2010",1,1.05,,,"18023","18","023"
"KS","Chase","2010",1,5.52,,,"20029","20","029"
"KS","Douglas","2010",1,4.2,,,"20035","20","035"
"KS","Edwards","2010",1,1.5,,,"20047","20","047"
"KS","Franklin","2010",2,29.94,,,"20047","20","047"
"KS","Jackson","2010",1,19.32,,,"20057","20","057"
"KS","Sedgwick","2010",1,26.8,,,"20115","20","115"
"KY","Christian","2010",1,2,,,"21043","21","043"
"KY","Hickman","2010",1,1.299999952,,,"21081","21","081"
"KY","Jefferson","2010",1,5.98,4.82,28840,"21059","21","059"
"KY","Knox","2010",1,240,,,"21093","21","093"
"KY","Rockcastle","2010",1,60.9,4.01,243955,"21203","21","203"
"KY","Simpson","2010",1,2.5,,,"21127","21","127"
"KY","Warren","2010",1,210,6.14,1290000,"21041","21","041"
"MA","Barnstable","2010",283,5844.694,6.7612826963152482,37339659.66,"25001","25","001"
"MA","Bristol","2010",115,3674.332,7.1177900222227273,21384432.74,"25005","25","005"
"MA","Dukes","2010",43,291.95,8.3276892176232558,2259267.32,"25007","25","007"
"MA","Essex","2010",192,5810.665,7.5368446688109375,38272696.08,"25057","25","057"
"MA","Franklin","2010",107,1122.18,6.7654808647738318,6994809.39,"25047","25","047"
"MA","Hampshire","2010",124,1229.042,6.8962518340398374,7615144.12,"25027","25","027"
"MA","Middlesex","2010",271,10484.136,6.449126856956015,58287652.41,"25023","25","023"
"MA","Norfolk","2010",156,5428.0194,6.7292960674782051,34612227.69,"25021","25","021"
"MA","Plymouth","2010",68,757.11,7.2617157358078125,5406184.77,"25023","25","023"
"MA","Suffolk","2010",61,6890.98,7.2539240668540984,40763593.64,"25103","25","103"
"MA","Worcester","2010",195,6034.973,6.5305290793779487,33180908.61,"25047","25","047"
"MD","Allegany","2010",2,182.16,4.4579863856,811700,"24003","24","003"
"MD","Anne Arundel","2010",207,1453.154,6.6540326934300493,8446127.32,"24003","24","003"
"MD","Baltimore","2010",230,1710.51,6.4722728473353712,9910191.6,"24005","24","005"
"MD","Calvert","2010",32,266.87,6.416232745246875,1637490,"24009","24","009"
"MD","Caroline","2010",6,82.02,5.8072284310833333,479624,"24033","24","033"
"MD","Carroll","2010",80,1070.52,6.33506823642875,5614992.68,"24015","24","015"
"MD","Cecil","2010",51,293.73,6.7090092113,1932863,"24015","24","015"
"MD","Charles","2010",34,212.19,6.4772209175823529,1315049,"24017","24","017"
"MD","Dorchester","2010",13,117.365,5.8298374292692308,687628,"24035","24","035"
"MD","Frederick","2010",53,434.1,5.9899405433716981,2487288.89,"24069","24","069"
"MD","Garrett","2010",4,21.84,5.5183866747,120342,"24023","24","023"
"MD","Harford","2010",67,406.61,6.3417862133761194,2489968.8,"24025","24","025"
"MD","Howard","2010",155,971.21,6.3986847590546053,5884729.27,"24061","24","061"
"MD","Kent","2010",3,21.96,6.8133333333333333,164521.6,"24081","24","081"
"MD","Montgomery","2010",489,3428.703,6.5663795470564682,17129512.56,"24097","24","097"
"MD","Prince George's","2010",94,884.722,6.7582606250755319,5228607,"24033","24","033"
"MD","Queen Anne's","2010",31,216.645,6.030700263283871,1257142,"24035","24","035"
"MD","Somerset","2010",1,4,7.8,31200,"24035","24","035"
"MD","St. Mary's","2010",26,185.08,6.0051833288115385,1085779,"24037","24","037"
"MD","Talbot","2010",15,118.63,5.88894170358,697068,"24041","24","041"
"MD","Washington","2010",50,1277.305,6.5856493881959184,2195668.53,"24023","24","023"
"MD","Wicomico","2010",6,25.2,6.9332538580166667,148841.82,"24045","24","045"
"MD","Worcester","2010",14,89.41,7.86625702455,689130,"24047","24","047"
"ME","Cumberland","2010",7,66.98,5.52,214620,"23049","23","049"
"ME","Hancock","2010",3,11.28,5.35,12314,"23029","23","029"
"ME","Kennebec","2010",2,22.68,6.37,139000,"23011","23","011"
"ME","Knox","2010",6,53.58,6.15,145000,"23093","23","093"
"ME","Lincoln","2010",2,77.51,4.47,379516,"23073","23","073"
"ME","Oxford","2010",2,6.14,4.69,13800,"23017","23","017"
"ME","Penobscot","2010",1,2.3,,,"23019","23","019"
"ME","Waldo","2010",4,25,4.79,52860,"23027","23","027"
"ME","York","2010",7,196.05,6.5333333333333333,1007000,"23091","23","091"
"MI","Alger","2010",2,2.15,13.04,15000,"26003","26","003"
"MI","Allegan","2010",3,10,4.2,21000,"26005","26","005"
"MI","Antrim","2010",1,4,,,"26009","26","009"
"MI","Baraga","2010",2,4.3,17.2,71594,"26013","26","013"
"MI","Barry","2010",1,2.25,14.75,33184,"26015","26","015"
"MI","Bay","2010",2,25.8,7.2,77746.31,"26017","26","017"
"MI","Berrien","2010",2,8.81,4.95,43650,"26021","26","021"
"MI","Delta","2010",2,4.3,17.2,71594,"26029","26","029"
"MI","Dickinson","2010",6,19.613,15.656,188430,"26043","26","043"
"MI","Genesee","2010",3,19.96,4.74,62435.56,"26037","26","037"
"MI","Grand Traverse","2010",3,43.96,7.17,269400,"26055","26","055"
"MI","Gratiot","2010",1,2.25,10.67,24000,"26057","26","057"
"MI","Ingham","2010",4,11.77,7.66,26185,"26065","26","065"
"MI","Ionia","2010",3,214.04,5.18,1050000,"26067","26","067"
"MI","Isabella","2010",1,21.6,4.46,96422.4,"26073","26","073"
"MI","Jackson","2010",1,2.31,,,"26057","26","057"
"MI","Kalamazoo","2010",2,168.8,,,"26077","26","077"
"MI","Kent","2010",9,337.998,7.58,143740,"26081","26","081"
"MI","Lapeer","2010",2,23.5,6.11,121000,"26087","26","087"
"MI","Leelanau","2010",1,2.1,6.67,14000,"26089","26","089"
"MI","Lenawee","2010",2,21.225,12.44,14000,"26091","26","091"
"MI","Livingston","2010",2,9.976,4.57,21000,"26051","26","051"
"MI","Macomb","2010",5,36.1,6.04,119530.63,"26099","26","099"
"MI","Monroe","2010",1,4,,,"26095","26","095"
"MI","Montcalm","2010",1,2.99,,,"26117","26","117"
"MI","Muskegon","2010",3,154.1,4.33,650000,"26121","26","121"
"MI","Newaygo","2010",3,15.2,,,"26123","26","123"
"MI","Oakland","2010",15,116.75,6.7375,233887.5,"26125","26","125"
"MI","Ottawa","2010",6,38.915,9.5666666666666667,120719,"26115","26","115"
"MI","Roscommon","2010",1,4.7,7,32900,"26143","26","143"
"MI","Saginaw","2010",2,41.65,,,"26145","26","145"
"MI","St. Clair","2010",1,2,7.5,15000,"26115","26","115"
"MI","St. Joseph","2010",1,7.43,5,37150,"26149","26","149"
"MI","Tuscola","2010",1,2.25,10.67,24000,"26157","26","157"
"MI","Van Buren","2010",4,14.7,3,15000,"26141","26","141"
"MI","Washtenaw","2010",4,24.82,5.145,130500,"26161","26","161"
"MI","Wayne","2010",14,620.284,10.3677777777777778,807990.3,"26099","26","099"
"MN","Aitkin","2010",2,3.68,5.53929347825,20382,"27001","27","001"
