"state","county","year","count","total_size","average_cost_per_watt","sum_cost","concat_code","state_code","county_code"
"MO","Bates","2012",1,4,,,"29013","29","013"
"MO","Boone","2012",14,98.2,4.53,268723,"29011","29","011"
"MO","Buchanan","2012",93,2089.514,,,"29027","29","027"
"MO","Callaway","2012",18,343.665,6.105,856750,"29027","29","027"
"MO","Camden","2012",7,77.14,4,69120,"29029","29","029"
"MO","Cape Girardeau","2012",7,98.78,,,"29031","29","031"
"MO","Cass","2012",18,312.615,,,"29067","29","067"
"MO","Clay","2012",7,104.24,,,"29021","29","021"
"MO","Cole","2012",19,402.81,6.38375,1245743,"29051","29","051"
"MO","Cooper","2012",16,379.11,5.41,254975,"29053","29","053"
"MO","Crawford","2012",1,8.16,,,"29033","29","033"
"MO","Daviess","2012",2,29.8,,,"29061","29","061"
"MO","DeKalb","2012",1,5.76,,,"29049","29","049"
"MO","Franklin","2012",33,296.645,4.32,122342,"29047","29","047"
"MO","Gasconade","2012",1,1.25,1.68,2100,"29073","29","073"
"MO","Henry","2012",1,1.44,,,"29067","29","067"
"MO","Jackson","2012",20,386.888,,,"29057","29","057"
"MO","Jefferson","2012",113,648.23,4.0476470588235294,620789.8,"29059","29","059"
"MO","Johnson","2012",13,256.535,3.13,45000,"29071","29","071"
"MO","Lafayette","2012",2,27.96,,,"29073","29","073"
"MO","Lincoln","2012",10,111.915,4.0166666666666667,118265,"29073","29","073"
"MO","Maries","2012",1,6.63,5.58,37000,"29125","29","125"
"MO","Miller","2012",4,101.43,5.335,270380,"29091","29","091"
"MO","Moniteau","2012",2,19.74,5.67,56000,"29135","29","135"
"MO","Montgomery","2012",11,36.805,6.2,79856,"29097","29","097"
"MO","Morgan","2012",3,41.09,6.29,156784,"29087","29","087"
"MO","New Madrid","2012",1,6.16,,,"29143","29","143"
"MO","Nodaway","2012",5,92.52,,,"29147","29","147"
"MO","Osage","2012",2,50.76,5.47,138918,"29113","29","113"
"MO","Pettis","2012",3,74.94,,,"29159","29","159"
"MO","Pike","2012",1,0.235,,,"29109","29","109"
"MO","Platte","2012",2,14,,,"29031","29","031"
"MO","Pulaski","2012",1,3,,,"29119","29","119"
"MO","Randolph","2012",1,25.2,,,"29083","29","083"
"MO","Scott","2012",3,23.155,,,"29127","29","127"
"MO","St. Charles","2012",80,692.707,4.0670967741935484,1150843.38,"29183","29","183"
"MO","Ste. Genevieve","2012",5,51.742,,,"29186","29","186"
"MO","St. Francois","2012",5,37.338,4.14,22838.46,"29187","29","187"
"MO","St. Louis","2012",169,2470.272,4.1614285714285714,514654.15,"29189","29","189"
"MO","Stoddard","2012",1,16.125,,,"29207","29","207"
"MO","Vernon","2012",3,37.51,5.45,54500,"29123","29","123"
"MO","Warren","2012",2,19.155,,,"29041","29","041"
"MO","Washington","2012",7,50.33,4.2966666666666667,102430,"29023","29","023"
"MS","Copiah","2012",1,5.82,3.25,18915,"28029","28","029"
"MS","Oktibbeha","2012",2,10.07,4.035,40627,"28105","28","105"
"MS","Pontotoc","2012",1,6,3.2,19200,"28123","28","123"
"MS","Scott","2012",1,2.88,5,14400,"28127","28","127"
"MS","Smith","2012",1,1.41,5,7050,"28423","28","423"
"MT","Cascade","2012",1,16.92,,,"30013","30","013"
"NC","Buncombe","2012",1,3.15,8.25,26000,"37021","37","021"
"NC","Cherokee","2012",4,4000,,,"37019","37","019"
"NC","Edgecombe","2012",1,1500,,,"37065","37","065"
"NC","Gaston","2012",1,5000,,,"37071","37","071"
"NC","Guilford","2012",1,4.6,5.43,25000,"37081","37","081"
"NC","New Hanover","2012",1,1000,,,"37129","37","129"
"NC","Orange","2012",1,4.94,5.47,27000,"37059","37","059"
"NC","Robeson","2012",1,6400,,,"37155","37","155"
"NC","Wake","2012",1,1000,,,"37183","37","183"
"NC","Washington","2012",1,2000,,,"37023","37","023"
"ND","Barnes","2012",1,26.32,,,"38003","38","003"
"ND","Cass","2012",1,7.45,4.7,35000,"38067","38","067"
"ND","Grand Forks","2012",1,51.75,,,"38035","38","035"
"NE","Dixon","2012",1,1.337,5,6685,"31051","31","051"
"NH","Belknap","2012",35,206.98,5.1286009857942857,1205834.81,"33001","33","001"
"NH","Carroll","2012",26,114.37,4.87566809915,551777,"33015","33","015"
"NH","Cheshire","2012",40,186.9,5.06414141446,917255,"33005","33","005"
"NH","Coos","2012",35,213.44,4.7822158194514286,873769.4,"33011","33","011"
"NH","Grafton","2012",45,204.18567,4.8184096380155556,926894.66,"33009","33","009"
"NH","Hillsborough","2012",43,244.119,4.9444487490813953,1133820,"33011","33","011"
"NH","Merrimack","2012",65,390.889,5.0104282069846154,1746838.77,"33013","33","013"
"NH","Rockingham","2012",65,878.425,4.7728886617809524,4660430.37,"33015","33","015"
"NH","Strafford","2012",52,418.148,4.63447674161,1314873.21,"33017","33","017"
"NH","Sullivan","2012",13,160.7,4.2606799145692308,749793,"33019","33","019"
"NJ","Atlantic","2012",470,45517.878,6.374044883,836215,"34001","34","001"
"NJ","Bergen","2012",484,55432.591,7.41161471225,20336469.2,"34003","34","003"
"NJ","Burlington","2012",948,75063.38,6.241140005275,772536.15,"34005","34","005"
"NJ","Camden","2012",253,11998.865,6.72340006795,519280,"34029","34","029"
"NJ","Cape May","2012",161,7080.857,5.2515050167,15702,"34009","34","009"
"NJ","Cumberland","2012",156,20731.705,6.81054116345,890362.25,"34049","34","049"
"NJ","Essex","2012",270,15082.436,6.47602120065,584763,"34057","34","057"
"NJ","Gloucester","2012",292,12532.831,5.2463159968666667,139000,"34073","34","073"
"NJ","Hudson","2012",103,13637.773,6.895880077375,147000,"34017","34","017"
"NJ","Hunterdon","2012",223,30704.133,6.149516689425,429124,"34019","34","019"
"NJ","Mercer","2012",361,48799.58,6.2182216475272727,528376,"34055","34","055"
"NJ","Middlesex","2012",669,123671.009,5.9000224292714286,265994,"34023","34","023"
"NJ","Monmouth","2012",1110,103847.089,6.1331700727875,80995800,"34025","34","025"
"NJ","Morris","2012",280,24355.977,6.33119437552,483392.4,"34027","34","027"
"NJ","Passaic","2012",275,26036.342,9.768826982125,163656,"34031","34","031"
"NJ","Salem","2012",83,15165.02,4,50000000,"34033","34","033"
"NJ","Somerset","2012",440,34301.753,6.8769866946714286,708912.9,"34035","34","035"
"NJ","Sussex","2012",135,8357.75,4.25,29325,"34037","34","037"
"NJ","Union","2012",419,49709.205,5.732174096025,23144753,"34087","34","087"
"NM","Bernalillo","2012",622,5401.197,5.7995979306376812,19245028.4,"35001","35","001"
