"sfh_qty","th_qty","households","hhincome_below_10k","hhincome_10_below_15k","hhincome_15_below_25k","hhincome_25_below_35k","hhincome_35_below_50k","hhincome_50_below_75k","hhincome_75_below_100k","hhincome_100_below_150k","hhincome_150_below_200k","hhincome_above_200k","avg_rtl_price","dem_share","year_since_1990","count"
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,16.75,7
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,16.5,10
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,16.25,14
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,16,16
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,15.75,8
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,15.5,3
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,15.25,5
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,15,2
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,14.75,3
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,14.5,4
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,14.25,2
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,13.75,1
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,12.75,1
19054,196,15486,743,759,1580,1827,2400,3175,2276,1998,465,263,10.73,0.44659603588989709535,25.5,3
19054,196,15486,743,759,1580,1827,2400,3175,2276,1998,465,263,10.73,0.44659603588989709535,25.25,1
19054,196,15486,743,759,1580,1827,2400,3175,2276,1998,465,263,10.73,0.44659603588989709535,25,2
19054,196,15486,743,759,1580,1827,2400,3175,2276,1998,465,263,10.73,0.44659603588989709535,24.5,2
19054,196,15486,743,759,1580,1827,2400,3175,2276,1998,465,263,10.73,0.44659603588989709535,23.75,1
19054,196,15486,743,759,1580,1827,2400,3175,2276,1998,465,263,10.73,0.44659603588989709535,23,2
19054,196,15486,743,759,1580,1827,2400,3175,2276,1998,465,263,10.73,0.44659603588989709535,22.75,2
19054,196,15486,743,759,1580,1827,2400,3175,2276,1998,465,263,10.73,0.44659603588989709535,22.25,1
19054,196,15486,743,759,1580,1827,2400,3175,2276,1998,465,263,10.73,0.44659603588989709535,20,1
19054,196,15486,743,759,1580,1827,2400,3175,2276,1998,465,263,10.73,0.44659603588989709535,17.75,1
19054,196,15486,743,759,1580,1827,2400,3175,2276,1998,465,263,10.73,0.44659603588989709535,17,1
19054,196,15486,743,759,1580,1827,2400,3175,2276,1998,465,263,10.73,0.44659603588989709535,16,1
19054,196,15486,743,759,1580,1827,2400,3175,2276,1998,465,263,10.73,0.44659603588989709535,15.25,1
19054,196,15486,743,759,1580,1827,2400,3175,2276,1998,465,263,10.73,0.44659603588989709535,13.75,1
19054,196,15486,743,759,1580,1827,2400,3175,2276,1998,465,263,10.73,0.44659603588989709535,13,1
21343,1134,31898,2329,1818,3796,3573,4434,6284,3892,3987,1116,638,15.28,0.61990442400984722323,26,12
21343,1134,31898,2329,1818,3796,3573,4434,6284,3892,3987,1116,638,15.28,0.61990442400984722323,25.75,9
21343,1134,31898,2329,1818,3796,3573,4434,6284,3892,3987,1116,638,15.28,0.61990442400984722323,25.5,6
21343,1134,31898,2329,1818,3796,3573,4434,6284,3892,3987,1116,638,15.28,0.61990442400984722323,25.25,9
21343,1134,31898,2329,1818,3796,3573,4434,6284,3892,3987,1116,638,15.28,0.61990442400984722323,25,9
21343,1134,31898,2329,1818,3796,3573,4434,6284,3892,3987,1116,638,15.28,0.61990442400984722323,24.75,7
21343,1134,31898,2329,1818,3796,3573,4434,6284,3892,3987,1116,638,15.28,0.61990442400984722323,24.5,5
21343,1134,31898,2329,1818,3796,3573,4434,6284,3892,3987,1116,638,15.28,0.61990442400984722323,24.25,2
21343,1134,31898,2329,1818,3796,3573,4434,6284,3892,3987,1116,638,15.28,0.61990442400984722323,24,8
